"","County","Population","NumberOfHouseholds","AverageHouseholdSize"
"1","Kenya   ",47213282,12143913,3.9
"2","Mombasa   ",1190987,378422,3.1
"3","Kwale  ",858748,173176,5
"4","Kilifi  ",1440958,298472,4.8
"5","TanaRiver   ",314710,68242,4.6
"6","Lamu   ",141909,37963,3.7
"7","Taita/Taveta  ",335747,96429,3.5
"8","Garissa   ",835482,141394,5.9
"9","Wajir  ",775302,127932,6.1
"10","Mandera   ",862079,125763,6.9
"11","Marsabit   ",447150,77495,5.8
"12","Isiolo   ",267997,58072,4.6
"13","Meru   ",1535635,426360,3.6
"14","Tharaka-Nithi   ",391303,109860,3.6
"15","Embu  ",604769,182743,3.3
"16","Kitui   ",1130134,262942,4.3
"17","Machakos  ",1414022,402466,3.5
"18","Makueni   ",977015,244669,4
"19","Nyandarua  ",636002,179686,3.5
"20","Nyeri  ",752695,248050,3
"21","Kirinyaga  ",605630,204188,3
"22","Murang'a  ",1053059,318105,3.3
"23","Kiambu   ",2402834,795241,3
"24","Turkana   ",922210,164519,5.6
"25","WestPokot   ",618867,116182,5.3
"26","Samburu  ",307957,65910,4.7
"27","TransNzoia   ",985333,223808,4.4
"28","UasinGishu   ",1152671,304943,3.8
"29","Elgeyo/Marakwet   ",453403,99861,4.5
"30","Nandi  ",883634,199426,4.4
"31","Baringo   ",662760,142518,4.7
"32","Laikipia   ",513879,149271,3.4
"33","Nakuru   ",2142667,616046,3.5
"34","Narok  ",1149379,241125,4.8
"35","Kajiado    ",1107296,316179,3.5
"36","Kericho   ",896863,206036,4.4
"37","Bomet  ",873023,187641,4.7
"38","Kakamega   ",1861332,433207,4.3
"39","Vihiga   ",587189,143365,4.1
"40","Bungoma   ",1663898,358796,4.6
"41","Busia   ",886856,198152,4.5
"42","Siaya  ",989708,250698,3.9
"43","Kisumu   ",1144777,300745,3.8
"44","HomaBay   ",1125823,262036,4.3
"45","Migori   ",1108950,240168,4.6
"46","Kisii   ",1260509,308054,4.1
"47","Nyamira  ",603051,150669,4
"48","NairobiCity   ",4337080,1506888,2.9
