"","County","Population","LandArea(in Sq. Km)","Population Density(No. per Sq. Km)"
"1","Kenya   ",47564296,580876.3,82
"2","Mombasa   ",1208333,219.9,5495
"3","Kwale   ",866820,8267.1,105
"4","Kilifi  ",1453787,12539.7,116
"5","TanaRiver   ",315943,37950.5,8
"6","Lamu   ",143920,6253.3,23
"7","Taita/Taveta   ",340671,17152,20
"8","Garissa   ",841353,44736,19
"9","Wajir  ",781263,56773.1,14
"10","Mandera   ",867457,25939.8,33
"11","Marsabit   ",459785,70944.1,6
"12","Isiolo   ",268002,25350.6,11
"13","Meru   ",1545714,7006.3,221
"14","Tharaka-Nithi   ",393177,2564.4,153
"15","Embu   ",608599,2820.7,216
"16","Kitui   ",1136187,30429.5,37
"17","Machakos  ",1421932,6042.7,235
"18","Makueni   ",987653,8169.8,121
"19","Nyandarua   ",638289,3285.7,194
"20","Nyeri   ",759164,3325,228
"21","Kirinyaga   ",610411,1478.3,413
"22","Murang'a  ",1056640,2524.2,419
"23","Kiambu   ",2417735,2538.6,952
"24","Turkana   ",926976,68232.9,14
"25","WestPokot   ",621241,9123.2,68
"26","Samburu   ",310327,21065.1,15
"27","TransNzoia   ",990341,2495.2,397
"28","UasinGishu   ",1163186,3392.2,343
"29","Elgeyo/Marakwet   ",454480,3032,150
"30","Nandi   ",885711,2855.8,310
"31","Baringo   ",666763,10976.4,61
"32","Laikipia   ",518560,9532.2,54
"33","Nakuru  ",2162202,7462.4,290
"34","Narok      ",1157873,17950.3,65
"35","Kajiado  ",1117840,21871.1,51
"36","Kericho   ",901777,2436.1,370
"37","Bomet   ",875689,2530.9,346
"38","Kakamega   ",1867579,3020,618
"39","Vihiga   ",590013,563.8,1047
"40","Bungoma   ",1670570,3023.9,552
"41","Busia   ",893681,1696.3,527
"42","Siaya   ",993183,2529.8,393
"43","Kisumu   ",1155574,2085.4,554
"44","HomaBay   ",1131950,3152.5,359
"45","Migori   ",1116436,2613.5,427
"46","Kisii   ",1266860,1323,958
"47","Nyamira   ",605576,897.3,675
"48","NairobiCity   ",4397073,703.9,6247
