"","County","SubCounty","AdminArea","Population","NumberOfHouseholds","AverageHouseholdSize"
"1","xxx","Total","xxx",47213282,12143913,3.9
"2","Mombasa County","Mombasa","County",1190987,378422,3.1
"3","Mombasa County","Changamwe","SubCounty",130541,46614,2.8
"4","Mombasa County","Jomvu","SubCounty",162760,53472,3
"5","Mombasa County","Kisauni","SubCounty",287131,88202,3.3
"6","Mombasa County","Likoni","SubCounty",249230,81191,3.1
"7","Mombasa County","Mvita","SubCounty",147983,38995,3.8
"8","Mombasa County","Nyali","SubCounty",213342,69948,3.1
"9","Kwale County","Kwale","County",858748,173176,5
"10","Kwale County","Kinango","SubCounty",93789,16043,5.8
"11","Kwale County","Lungalunga","SubCounty",198195,37366,5.3
"12","Kwale County","Matuga","SubCounty",192999,39231,4.9
"13","Kwale County","Msambweni","SubCounty",173213,45466,3.8
"14","Kwale County","Samburu-Kwale","SubCounty",200552,35070,5.7
"15","Kilifi County","Kilifi","County",1440958,298472,4.8
"16","Kilifi County","Chonyi","SubCounty",62318,11421,5.5
"17","Kilifi County","Ganze","SubCounty",143590,23258,6.2
"18","Kilifi County","Kaloleni","SubCounty",192905,36355,5.3
"19","Kilifi County","Kauma","SubCounty",22613,3479,6.5
"20","Kilifi County","Kilifi North","SubCounty",177527,39512,4.5
"21","Kilifi County","Kilifi South","SubCounty",203891,53074,3.8
"22","Kilifi County","Magarini","SubCounty",190644,33017,5.8
"23","Kilifi County","Malindi","SubCounty",326991,73547,4.4
"24","Kilifi County","Rabai","SubCounty",120479,24809,4.9
"25","Tana River County","Tana River","County",314710,68242,4.6
"26","Tana River County","Tana North","SubCounty",110293,22791,4.8
"27","Tana River County","Tana Delta","SubCounty",116463,26886,4.3
"28","Tana River County","Tana River","SubCounty",87954,18565,4.7
"29","Lamu County","Lamu","County",141909,37963,3.7
"30","Lamu County","Lamu East","SubCounty",22212,5090,4.4
"31","Lamu County","Lamu West","SubCounty",119697,32873,3.6
"32","Taita/Taveta County","Taita/Taveta","County",335747,96429,3.5
"33","Taita/Taveta County","Mwatate","SubCounty",81389,23698,3.4
"34","Taita/Taveta County","Taita","SubCounty",55643,15094,3.7
"35","Taita/Taveta County","Taveta","SubCounty",89319,24115,3.7
"36","Taita/Taveta County","Voi","SubCounty",109396,33522,3.3
"37","Garissa County","Garissa","County",835482,141394,5.9
"38","Garissa County","Balambala","SubCounty",31819,4337,7.3
"39","Garissa County","Dadaab","SubCounty",183410,35793,5.1
"40","Garissa County","Fafi","SubCounty",133286,23671,5.6
"41","Garissa County","Garissa","SubCounty",161951,30518,5.3
"42","Garissa County","Hulugho","SubCounty",133746,20254,6.6
"43","Garissa County","Ijara","SubCounty",141418,18481,7.7
"44","Garissa County","Lagdera","SubCounty",49852,8340,6
"45","Wajir County","Wajir","County",775302,127932,6.1
"46","Wajir County","Buna","SubCounty",48117,6480,7.4
"47","Wajir County","Eldas","SubCounty",88310,13892,6.4
"48","Wajir County","Habaswein","SubCounty",173446,31292,5.5
"49","Wajir County","Tarbaj","SubCounty",56983,9378,6.1
"50","Wajir County","Wajir East","SubCounty",109316,18674,5.9
"51","Wajir County","Wajir North","SubCounty",61867,10490,5.9
"52","Wajir County","Wajir South","SubCounty",116225,21364,5.4
"53","Wajir County","Wajir West","SubCounty",121038,16362,7.4
"54","Mandera County","Mandera","County",862079,125763,6.9
"55","Mandera County","Mandera West","SubCounty",97983,14274,6.9
"56","Mandera County","Banisa","SubCounty",152043,24285,6.3
"57","Mandera County","Kutulo","SubCounty",71602,9446,7.6
"58","Mandera County","Lafey","SubCounty",83001,11597,7.2
"59","Mandera County","Mandera Central","SubCounty",156623,21140,7.4
"60","Mandera County","Mandera East","SubCounty",158586,25904,6.1
"61","Mandera County","Mandera North","SubCounty",142241,19117,7.4
"62","Marsabit County","Marsabit","County",447150,77495,5.8
"63","Marsabit County","Loiyangalani","SubCounty",35274,7774,4.5
"64","Marsabit County","Marsabit Central","SubCounty",78167,15849,4.9
"65","Marsabit County","Marsabit North","SubCounty",49056,7521,6.5
"66","Marsabit County","Marsabit South","SubCounty",64937,11615,5.6
"67","Marsabit County","Moyale","SubCounty",108223,17709,6.1
"68","Marsabit County","North Horr","SubCounty",67154,9789,6.9
"69","Marsabit County","Sololo","SubCounty",44339,7238,6.1
"70","Isiolo County","Isiolo","County",267997,58072,4.6
"71","Isiolo County","Garbatulla","SubCounty",99730,18661,5.3
"72","Isiolo County","Isiolo","SubCounty",121061,29853,4.1
"73","Isiolo County","Merti","SubCounty",47206,9558,4.9
"74","Meru County","Meru","County",1535635,426360,3.6
"75","Meru County","Buuri East","SubCounty",75943,23834,3.2
"76","Meru County","Buuri West","SubCounty",80419,27973,2.9
"77","Meru County","Igembe Central","SubCounty",219887,52031,4.2
"78","Meru County","Igembe North","SubCounty",168903,38871,4.3
"79","Meru County","Igembe South","SubCounty",160851,43281,3.7
"80","Meru County","Imenti North","SubCounty",173876,57668,3
"81","Meru County","Imenti South","SubCounty",205487,64186,3.2
"82","Meru County","Meru Central","SubCounty",133165,39595,3.4
"83","Meru County","Tigania Central","SubCounty",104558,25039,4.2
"84","Meru County","Tigania East","SubCounty",72471,17185,4.2
"85","Meru County","Tigania West","SubCounty",139312,36207,3.8
"86","Meru County","Meru National Park*","SubCounty",317,207,1.5
"87","Meru County","Mt Kenya Forest*","SubCounty",446,283,1.6
"88","Tharaka-Nithi County","Tharaka-Nithi","County",391303,109860,3.6
"89","Tharaka-Nithi County","Igambang'ombe","SubCounty",52802,14398,3.7
"90","Tharaka-Nithi County","Maara","SubCounty",114734,35041,3.3
"91","Tharaka-Nithi County","Meru South","SubCounty",90520,28249,3.2
"92","Tharaka-Nithi County","Tharaka North","SubCounty",58252,13413,4.3
"93","Tharaka-Nithi County","Tharaka South","SubCounty",74824,18646,4
"94","Tharaka-Nithi County","Mt Kenya Forest*","SubCounty",171,113,1.5
"95","Embu County","Embu","County",604769,182743,3.3
"96","Embu County","Embu East","SubCounty",129097,39678,3.3
"97","Embu County","Embu North","SubCounty",79465,24300,3.3
"98","Embu County","Embu West","SubCounty",124616,43153,2.9
"99","Embu County","Mbeere South","SubCounty",162918,46065,3.5
"100","Embu County","Mbeere North","SubCounty",108651,29528,3.7
"101","Embu County","Mt Kenya Forest*","SubCounty",22,19,1.2
"102","Kitui County","Kitui","County",1130134,262942,4.3
"103","Kitui County","Ikutha","SubCounty",82463,16679,4.9
"104","Kitui County","Katulani","SubCounty",46913,12170,3.9
"105","Kitui County","Kisasi","SubCounty",46003,10866,4.2
"106","Kitui County","Kitui Central","SubCounty",104128,29057,3.6
"107","Kitui County","Kitui West","SubCounty",70635,17497,4
"108","Kitui County","Kyuso","SubCounty",76452,15993,4.8
"109","Kitui County","Lower Yatta","SubCounty",62938,15454,4.1
"110","Kitui County","Matinyani","SubCounty",47802,11513,4.2
"111","Kitui County","Migwani","SubCounty",79066,19096,4.1
"112","Kitui County","Mumoni","SubCounty",29321,6496,4.5
"113","Kitui County","Mutitu","SubCounty",55136,11521,4.8
"114","Kitui County","Mutitu North","SubCounty",21128,4929,4.3
"115","Kitui County","Mutomo","SubCounty",112703,23044,4.9
"116","Kitui County","Mwingi Central","SubCounty",107973,26753,4
"117","Kitui County","Mwingi East","SubCounty",84973,18730,4.5
"118","Kitui County","Nzambani","SubCounty",46710,11276,4.1
"119","Kitui County","Thagicu","SubCounty",15096,3289,4.6
"120","Kitui County","Tseikuru","SubCounty",40694,8579,4.7
"121","Machakos County","Machakos","County",1414022,402466,3.5
"122","Machakos County","Athi River","SubCounty",319526,109735,2.9
"123","Machakos County","Kalama","SubCounty",54408,14182,3.8
"124","Machakos County","Kangundo","SubCounty",97700,26142,3.7
"125","Machakos County","Kathiani","SubCounty",111757,28730,3.9
"126","Machakos County","Machakos","SubCounty",168255,50979,3.3
"127","Machakos County","Masinga","SubCounty",148181,36251,4.1
"128","Machakos County","Matungulu","SubCounty",161080,44454,3.6
"129","Machakos County","Mwala","SubCounty",181671,45840,4
"130","Machakos County","Yatta","SubCounty",171444,46153,3.7
"131","Makueni County","Makueni","County",977015,244669,4
"132","Makueni County","Kathonzweni","SubCounty",79281,18365,4.3
"133","Makueni County","Kibwezi","SubCounty",194004,47912,4
"134","Makueni County","Kilungu","SubCounty",60869,14586,4.2
"135","Makueni County","Makindu","SubCounty",83391,21756,3.8
"136","Makueni County","Makueni","SubCounty",128880,34479,3.7
"137","Makueni County","Mbooni East","SubCounty",97523,23734,4.1
"138","Makueni County","Mbooni West","SubCounty",102292,24833,4.1
"139","Makueni County","Mukaa","SubCounty",106239,28185,3.8
"140","Makueni County","Nzaui","SubCounty",124536,30819,4
"141","Nyandarua County","Nyandarua","County",636002,179686,3.5
"142","Nyandarua County","Kinangop","SubCounty",111119,30970,3.6
"143","Nyandarua County","Nyandarua South","SubCounty",93228,25822,3.6
"144","Nyandarua County","Mirangine","SubCounty",67121,18816,3.6
"145","Nyandarua County","Kipipiri","SubCounty",93698,25200,3.7
"146","Nyandarua County","Nyandarua Central","SubCounty",74835,21942,3.4
"147","Nyandarua County","Nyandarua West","SubCounty",97590,29008,3.4
"148","Nyandarua County","Nyandarua North","SubCounty",98396,27917,3.5
"149","Nyandarua County","Aberdare National Park*","SubCounty",15,11,1.4
"150","Nyeri County","Nyeri","County",752695,248050,3
