"","County","Sex_Total","Sex_Male","Sex_Female","Sex_Intersex","Households_Total","Households_Conventional","Households_GroupQuarters","LandArea(Sq km)","Density(Persons per Sq km)"
"1","KENYA",47564296,23548056,24014716,1524,12143913,12043016,100897,580895,82
"2","MOMBASA",1208333,610257,598046,30,378422,376295,2127,220,5495
"3","KWALE",866820,425121,441681,18,173176,172802,374,8254,105
"4","KILIFI",1453787,704089,749673,25,298472,297990,482,12553,116
"5","TANA RIVER",315943,158550,157391,2,68242,66984,1258,37904,8
"6","LAMU",143920,76103,67813,4,37963,34231,3732,6283,23
"7","TAITA/TAVETA",340671,173337,167327,7,96429,94468,1961,17152,20
"8","GARISSA",841353,458975,382344,34,141394,138940,2454,44753,19
"9","WAJIR",781263,415374,365840,49,127932,126878,1054,56774,14
"10","MANDERA",867457,434976,432444,37,125763,123954,1809,25942,33
"11","MARSABIT",459785,243548,216219,18,77495,76689,806,70944,6
"12","ISIOLO",268002,139510,128483,9,58072,53217,4855,25349,11
"13","MERU",1545714,767698,777975,41,426360,423931,2429,7014,220
"14","THARAKA-NITHI",393177,193764,199406,7,109860,109450,410,2564,153
"15","EMBU",608599,304208,304367,24,182743,182427,316,2821,216
"16","KITUI",1136187,549003,587151,33,262942,261814,1128,30430,37
"17","MACHAKOS",1421932,710707,711191,34,402466,399523,2943,6037,236
"18","MAKUENI",987653,489691,497942,20,244669,243979,690,8177,121
"19","NYANDARUA",638289,315022,323247,20,179686,178224,1462,3286,194
"20","NYERI",759164,374288,384845,31,248050,244564,3486,3325,228
"21","KIRINYAGA",610411,302011,308369,31,204188,203576,612,1478,413
"22","MURANG'A",1056640,523940,532669,31,318105,317496,609,2523,419
"23","KIAMBU",2417735,1187146,1230454,135,795241,792333,2908,2539,952
"24","TURKANA",926976,478087,448868,21,164519,162627,1892,68233,14
"25","WEST POKOT",621241,307013,314213,15,116182,115761,421,9123,68
"26","SAMBURU",310327,156774,153546,7,65910,63951,1959,21090,15
"27","TRANS NZOIA",990341,489107,501206,28,223808,222989,819,2495,397
"28","UASIN GISHU",1163186,580269,582889,28,304943,301110,3833,3399,342
"29","ELGEYO/MARAKWET",454480,227317,227151,12,99861,99119,742,3032,150
"30","NANDI",885711,441259,444430,22,199426,199040,386,2849,311
"31","BARINGO",666763,336322,330428,13,142518,141877,641,10985,61
"32","LAIKIPIA",518560,259440,259102,18,149271,145776,3495,9508,55
"33","NAKURU",2162202,1077272,1084835,95,616046,598237,17809,7505,288
"34","NAROK",1157873,579042,578805,26,241125,238115,3010,17932,65
"35","KAJIADO",1117840,557098,560704,38,316179,313218,2961,21871,51
"36","KERICHO",901777,450741,451008,28,206036,205932,104,2436,370
"37","BOMET",875689,434287,441379,23,187641,187230,411,2507,349
"38","KAKAMEGA",1867579,897133,970406,40,433207,432284,923,3017,619
"39","VIHIGA",590013,283678,306323,12,143365,143288,77,564,1047
"40","BUNGOMA",1670570,812146,858389,35,358796,357714,1082,3024,552
"41","BUSIA",893681,426252,467401,28,198152,197944,208,1700,526
"42","SIAYA",993183,471669,521496,18,250698,249341,1357,2530,393
"43","KISUMU",1155574,560942,594609,23,300745,296846,3899,2085,554
"44","HOMA BAY",1131950,539560,592367,23,262036,260290,1746,3153,359
"45","MIGORI",1116436,536187,580214,35,240168,238133,2035,2613,427
"46","KISII",1266860,605784,661038,38,308054,307254,800,1323,957
"47","NYAMIRA",605576,290907,314656,13,150669,150499,170,897,675
"48","NAIROBI CITY",4397073,2192452,2204376,245,1506888,1494676,12212,704,6247
