"","County","Sex_Total","Sex_Male","Sex_Female","Sex_Intersex","Households_Total","Households_Conventional","Households_GroupQuarters","LandArea(Sq km)","Density(Persons per Sq km)"
"1","KENYA",32732596,16195922,16535833,841,7432249,7379282,52967,573370,57
"2","MOMBASA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","KWALE",740389,362726,377650,13,136171,135892,279,8191,90
"4","KILIFI",1059899,512765,547115,19,185754,185387,367,12384,86
"5","TANA RIVER",240221,120696,119524,1,48345,47670,675,37714,6
"6","LAMU",105474,56570,48902,2,27749,24161,3588,6215,17
"7","TAITA/TAVETA",246897,126717,120178,2,66940,65015,1925,17039,14
"8","GARISSA",630463,349423,281013,27,103697,102003,1694,44577,14
"9","WAJIR",604089,320562,283500,27,97276,96882,394,56398,11
"10","MANDERA",596990,299428,297535,27,85481,84728,753,25773,23
"11","MARSABIT",352546,188758,163772,16,57004,56465,539,70808,5
"12","ISIOLO",142333,76435,65894,4,28824,25352,3472,24791,6
"13","MERU",1406796,699532,707228,36,375450,373302,2148,6971,202
"14","THARAKA-NITHI",360434,177716,182712,6,97949,97614,335,2539,142
"15","EMBU",532675,267126,265534,15,154594,154301,293,2778,192
"16","KITUI",1082168,522943,559193,32,243692,242607,1085,30406,36
"17","MACHAKOS",1007854,504247,503582,25,259497,256809,2688,5794,174
"18","MAKUENI",910577,450482,460075,20,217610,217052,558,8111,112
"19","NYANDARUA",571754,282499,289240,15,156437,155007,1430,3241,176
"20","NYERI",608409,300893,307488,28,190313,189091,1222,3243,188
"21","KIRINYAGA",474187,237086,237083,18,154644,154255,389,1395,340
"22","MURANG'A",938213,467062,471121,30,276508,276037,471,2452,383
"23","KIAMBU",711450,355557,355866,27,207710,207550,160,1776,401
"24","TURKANA",786185,406490,379675,20,133899,132634,1265,67999,12
"25","WEST POKOT",589400,291469,297916,15,107572,107166,406,9106,65
"26","SAMBURU",263195,133058,130130,7,53120,51458,1662,21035,13
"27","TRANS NZOIA",811607,400606,410978,23,174249,173578,671,2386,340
"28","UASIN GISHU",652981,326269,326700,12,143434,139957,3477,3093,211
"29","ELGEYO/MARAKWET",433901,217344,216548,9,93720,93023,697,3021,144
"30","NANDI",826232,411715,414497,20,180826,180511,315,2809,294
"31","BARINGO",591474,299456,292006,12,119994,119363,631,10923,54
"32","LAIKIPIA",391200,196277,194909,14,104463,103022,1441,9359,42
"33","NAKURU",1115122,559639,555458,25,276259,269525,6734,6556,170
"34","NAROK",1057521,529224,528276,21,209185,206285,2900,17884,59
"35","KAJIADO",495218,250233,244970,15,108562,106566,1996,21483,23
"36","KERICHO",808239,402717,405500,22,175193,175119,74,2394,338
"37","BOMET",847718,420119,427577,22,178135,177886,249,2496,340
"38","KAKAMEGA",1682239,806682,875526,31,378386,377604,782,2899,580
"39","VIHIGA",531629,255727,275892,10,127476,127400,76,537,991
"40","BUNGOMA",1480458,720235,760194,29,307981,307149,832,2912,508
"41","BUSIA",779928,371289,408611,28,167368,167184,184,1654,471
"42","SIAYA",907766,431450,476301,15,225031,224404,627,2480,366
"43","KISUMU",714668,344721,369939,8,169013,168796,217,1947,367
"44","HOMA BAY",1018871,485991,532861,19,230012,229176,836,3111,327
"45","MIGORI",949236,455887,493318,31,197268,195462,1806,2529,375
"46","KISII",1115450,531860,583560,30,261837,261383,454,1284,869
"47","NYAMIRA",558540,268241,290286,13,137621,137451,170,876,638
"48","NAIROBI",NA,NA,NA,NA,NA,NA,NA,NA,NA
