"","County/SubCounty","Sex_Total","Sex_Male","Sex_Female","Households_Total","Households_Conventional","Households_GroupQuarters","LandArea(Sq km)","Density(Persons per Sq km)"
"1","KENYA",47564296,23548056,24014716,12143913,12043016,100897,580895,82
"2","MOMBASA",1208333,610257,598046,378422,376295,2127,220,5495
"3","CHANGAMWE",131882,68761,63121,46614,46439,175,18,7457
"4","JOMVU",163415,83002,80410,53472,53214,258,37,4432
"5","KISAUNI",291930,146748,145176,88202,88159,43,88,3328
"6","LIKONI",250358,126962,123392,81191,80002,1189,40,6187
"7","MVITA",154171,75565,78601,38995,38710,285,15,10543
"8","NYALI",216577,109219,107346,69948,69771,177,23,9610
"9","KWALE",866820,425121,441681,173176,172802,374,8254,105
"10","KINANGO",94220,45413,48806,16043,16041,2,1612,58
"11","LUNGA LUNGA",198423,97174,101245,37366,37276,90,2765,72
"12","MATUGA",194252,95831,98419,39231,39124,107,1034,188
"13","MSAMBWENI",177690,89206,88480,45466,45374,92,412,432
"14","SAMBURU",202235,97497,104731,35070,34987,83,2430,83
"15","KILIFI",1453787,704089,749673,298472,297990,482,12553,116
"16","CHONYI",62335,29527,32807,11421,11416,5,193,324
"17","GANZE",143906,66921,76981,23258,23197,61,3218,45
"18","KALOLENI",193682,92614,101063,36355,36344,11,706,274
"19","KAUMA",22638,10965,11673,3479,3479,NA,181,125
"20","KILIFI NORTH",178824,86986,91836,39512,39508,4,264,676
"21","KILIFI SOUTH",206753,101852,104897,53074,53011,63,290,712
"22","MAGARINI",191610,93302,98308,33017,32978,39,5229,37
"23","MALINDI",333226,163351,169866,73547,73317,230,2263,147
"24","RABAI",120813,58571,62242,24809,24740,69,208,581
"25","TANA RIVER",315943,158550,157391,68242,66984,1258,37904,8
"26","TANA DELTA",110640,55716,54924,22791,22395,396,15432,7
"27","TANA NORTH",116757,59123,57632,26886,26119,767,13305,9
"28","TANA RIVER",88546,43711,44835,18565,18470,95,9167,10
"29","LAMU",143920,76103,67813,37963,34231,3732,6283,23
"30","LAMU EAST",22258,11675,10583,5090,4476,614,2338,10
"31","LAMU WEST",121662,64428,57230,32873,29755,3118,3945,31
"32","TAITA/TAVETA",340671,173337,167327,96429,94468,1961,17152,20
"33","MWATATE",81659,41426,40231,23698,23184,514,2723,30
"34","TAITA",55959,28386,27573,15094,14985,109,478,117
"35","TAVETA",91222,47410,43812,24115,23417,698,6399,14
"36","VOI",111831,56115,55711,33522,32882,640,7553,15
"37","GARISSA",841353,458975,382344,141394,138940,2454,44753,19
"38","BALAMBALA",32257,20277,11979,4337,3986,351,3684,9
"39","DADAAB",185252,99059,86185,35793,35169,624,6415,29
"40","FAFI",134040,72617,61413,23671,23351,320,15050,9
"41","GARISSA",163914,83460,80449,30518,29790,728,3318,49
"42","HULUGHO",133984,78081,55898,20254,20078,176,7737,17
"43","IJARA",141591,80458,61129,18481,18296,185,2453,58
"44","LAGDERA",50315,25023,25291,8340,8270,70,6096,8
"45","WAJIR",781263,415374,365840,127932,126878,1054,56774,14
"46","BUNA",49886,26796,23088,6480,6480,NA,3888,13
"47","ELDAS",89104,45028,44069,13961,13862,99,4492,20
"48","HABASWEIN",174134,94613,79505,31292,31113,179,10912,16
"49","TARBAJ",56637,26856,29776,9309,9241,68,9608,6
"50","WAJIR EAST",110654,59359,51292,18674,18282,392,4053,27
"51","WAJIR NORTH",62206,31990,30209,10490,10478,12,4042,15
"52","WAJIR SOUTH",116814,64947,51864,21364,21149,215,10734,11
"53","WAJIR WEST",121828,65785,56037,16362,16273,89,9044,13
"54","MANDERA",867457,434976,432444,125763,123954,1809,25942,33
"55","MANDERA WEST",98300,48166,50130,14274,14201,73,4018,24
"56","BANISA",152598,78301,74288,24285,24000,285,3944,39
"57","KOTULO",72394,35799,36593,9446,9342,104,2509,29
"58","LAFEY",83457,40476,42976,11597,11380,217,3795,22
"59","MANDERA CENTRAL",157220,71688,85527,21140,20795,345,4032,39
"60","MANDERA EAST",159638,83538,76095,25904,25206,698,2506,64
"61","MANDERA NORTH",143850,77008,66835,19117,19030,87,5138,28
"62","MARSABIT",459785,243548,216219,77495,76689,806,70944,6
"63","LOIYANGALANI",35713,17659,18051,7774,7646,128,11789,3
"64","MARSABIT CENTRAL",79181,40956,38214,15849,15658,191,2143,37
"65","MARSABIT NORTH",54297,30091,24205,7521,7468,53,19837,3
"66","MARSABIT SOUTH",65376,33215,32161,11615,11563,52,8447,8
"67","MOYALE",108949,56440,52508,17709,17591,118,3327,33
"68","NORTH HORR",71447,41719,29726,9789,9601,188,19337,4
"69","SOLOLO",44822,23468,21354,7238,7162,76,6064,7
"70","ISIOLO",268002,139510,128483,58072,53217,4855,25349,11
"71","GARBATULLA",99730,54661,45068,18661,17047,1614,9902,10
