"","Urban Center","County","Total","Male","Female"
"1","KENYA","KENYA",14744474,7309839,7433955
"2","NAIROBI CITY","NAIROBI CITY",4397073,2192452,2204376
"3","MOMBASA","MOMBASA",1208333,610257,598046
"4","NAKURU","NAKURU",570674,280701,289941
"5","RUIRU","KIAMBU",490120,239013,251075
"6","ELDORET","UASIN GISHU",475716,237223,238477
"7","KISUMU","KISUMU",397957,195432,202515
"8","KIKUYU","KIAMBU",323881,157008,166855
"9","THIKA","MURANG'A/KIAMBU",251407,123308,128081
"10","NAIVASHA","NAKURU",198444,99109,99313
"11","KARURI","KIAMBU",194342,94707,99623
"12","ONGATA RONGAI","KAJIADO",172569,84969,87592
"13","GARISSA","TANA RIVER/GARISSA",163399,81782,81611
"14","KITALE","TRANS NZOIA",162174,80521,81648
"15","JUJA","KIAMBU",156041,77304,78728
"16","KITENGELA","KAJIADO",154436,75567,78864
"17","KIAMBU","KIAMBU",147870,70758,77095
"18","MLOLONGO","MACHAKOS",136351,69163,67188
"19","MALINDI","KILIFI",119859,58113,61742
"20","MANDERA","MANDERA",114718,60053,54660
"21","KISII","NYAMIRA/KISII",112417,55594,56816
"22","KAKAMEGA","KAKAMEGA",107227,53539,53683
"23","NGONG","KAJIADO",102323,50463,51857
"24","MTWAPA","KILIFI",90677,43890,46786
"25","WAJIR","WAJIR",90116,47940,42173
"26","LODWAR","TURKANA",82970,41583,41387
"27","LIMURU","KIAMBU",81316,40340,40976
"28","ATHI RIVER","MACHAKOS",81302,41086,40214
"29","MERU","MERU",80191,39865,40322
"30","NYERI","NYERI",80081,39382,40697
"31","ISIOLO","ISIOLO",78650,38687,39958
"32","UKUNDA","KWALE",77686,38766,38916
"33","KISERIAN","KAJIADO",76903,37612,39287
"34","KILIFI","KILIFI",74270,35790,38479
"35","NANYUKI","NYERI/LAIKIPIA",72813,36343,36468
"36","BUSIA","BUSIA",71886,34978,36908
"37","MIGORI","MIGORI",71668,34206,37462
"38","BUNGOMA","BUNGOMA",68031,32903,35126
"39","NAROK","NAROK",65430,32706,32720
"40","EMBU","EMBU",64979,31782,33188
"41","MACHAKOS","MACHAKOS",63767,31240,32524
"42","GITHUNGURI","MACHAKOS",63319,30889,32427
"43","EL WAK","MANDERA",60732,27852,32878
"44","GILGIL","NAKURU",60711,31069,29640
"45","KIMILILI","BUNGOMA",56050,27225,28824
"46","KERICHO","KERICHO",53804,28169,25631
"47","VOI","TAITA/TAVETA",53353,26719,26629
"48","WANGURU","KIRINYAGA",51722,24846,26868
"49","HABASWEIN","WAJIR",49599,27042,22541
"50","TURI","NAKURU",48356,23496,24857
"51","MOYALE","MARSABIT",47850,24202,23648
"52","HOMA BAY","HOMA BAY",44949,21440,23507
"53","KENOL","MURANG'A",44086,21209,22876
"54","MASALANI","GARISSA",43642,23662,19979
"55","MURANG'A","MURANG'A",43314,21056,22258
"56","WEBUYE","BUNGOMA",42642,20746,21894
"57","NJORO","NAKURU",42173,20702,21471
"58","KAPSABET","NANDI",41997,21000,20995
"59","MUMIAS","KAKAMEGA",41942,19990,21952
"60","NYAHURURU","LAIKIPIA",37650,18304,19345
"61","MARSABIT","MARSABIT",36289,18846,17441
"62","RHAMU","MANDERA",35644,18430,17213
"63","SIAYA","SIAYA",33153,15855,17298
"64","MARIAKANI","KWALE/KILIFI",31715,15511,16204
"65","MARALAL","SAMBURU",31350,15831,15519
"66","MAIRO INYA","NYANDARUA",30527,15027,15500
"67","KERUGOYA","KIRINYAGA",30045,14474,15571
"68","KITUI","KITUI",29062,14223,14838
"69","MAKUTANO","WEST POKOT",28469,13881,14588
"70","ELBURGON","NAKURU",28359,14254,14105
"71","WATAMU","KILIFI",27857,14030,13827
"72","LAMU","LAMU",25385,12900,12484
"73","KAJIADO","KAJIADO",24678,12409,12267
"74","NYAMIRA","NYAMIRA",24483,11823,12660
"75","ISEBANIA","MIGORI",23891,11569,12321
"76","KARATINA","NYERI",23552,11100,12451
"77","KAKUMA","TURKANA",22984,12050,10934
"78","LAFEY","MANDERA",22882,10745,12136
"79","BONDO","SIAYA",22712,10680,12030
"80","KABARNET","BARINGO",22474,10943,11531
"81","CHUKA","THARAKA-NITHI",22388,10913,11474
"82","KEHANCHA","MIGORI",22194,10836,11358
"83","MAUA","MERU",22121,10695,11426
"84","TAVETA","TAITA/TAVETA",22018,10880,11138
"85","TAKABA","MANDERA",21517,10731,10786
"86","ELDAMA RAVINE","BARINGO",21385,10482,10903
"87","HOLA","TANA RIVER",20912,10309,10603
"88","MAI MAHIU","NAKURU",20823,10284,10534
"89","RONGO","MIGORI",20688,9690,10998
"90","OYUGIS","HOMA BAY",19947,9286,10661
"91","WOTE","MAKUENI",19725,9916,9809
"92","EMALI","MAKUENI/KAJIADO",18325,9435,8890
"93","GARBATULA","ISIOLO",17443,9028,8415
"94","MBALE","VIHIGA",17404,8263,9141
"95","MWINGI","KITUI",17025,8140,8885
"96","AWENDO","MIGORI",16815,8338,8476
"97","KIMININI","TRANS NZOIA",16560,7980,8580
"98","MOI'S BRIDGE","UASIN GISHU",16355,7945,8410
"99","MAZERAS","KWALE/KILIFI",16254,7942,8312
"100","MALABA","BUSIA",15581,7573,8008
"101","MAKINDU","MAKUENI",15038,7658,7380
"102","BANISA","MANDERA",14974,7737,7236
"103","MSAMBWENI","KWALE",14951,7272,7679
"104","NAMANGA","KAJIADO",14922,7579,7343
"105","MBITA","HOMA BAY",14916,7166,7748
"106","ISINYA","KAJIADO",14429,7300,7129
"107","BUTE","WAJIR",14108,7275,6832
"108","KAWAIDA","KIAMBU",14038,6830,7208
"109","KAGIO","KIRINYAGA",13961,6294,7663
"110","BURA","TANA RIVER",13650,6977,6673
"111","SUNEKA","KISII",13405,6276,7129
"112","LITEIN","KERICHO",13403,6620,6783
"113","MOGOTIO","NAKURU/BARINGO",13366,6478,6885
"114","LUANDA","VIHIGA",13319,6354,6963
"115","OL KALOU","NYANDARUA",13234,6566,6667
"116","RUMURUTI","LAIKIPIA",13056,6696,6359
"117","LOKICHAR","TURKANA",12676,6735,5940
"118","CHAVAKALI","VIHIGA",12674,6073,6601
"119","ITEN","ELGEYO/MARAKWET",12630,6126,6504
"120","MAKUTANO (KYUMBI)","MACHAKOS",12396,6643,5753
"121","ELDAS","WAJIR",12270,6636,5633
"122","PORT VICTORIA","BUSIA",12194,5916,6278
"123","VIPINGO","KILIFI",12183,6150,6033
"124","MATUU","MACHAKOS",12073,5687,6386
"125","MAJENGO","VIHIGA",11913,5785,6128
"126","MODOGASHE","ISIOLO/GARISSA",11814,6039,5775
"127","MAU NAROK","NAKURU",11806,5810,5995
"128","AHERO","KISUMU",11801,5384,6414
"129","IJARA","GARISSA",11792,7248,4544
"130","BOMET","BOMET",11765,6037,5728
"131","LOKICHOGGIO","TURKANA",11626,5915,5711
"132","DADAAB","GARISSA",11525,6532,4993
"133","TALA","MACHAKOS",11446,5542,5903
"134","SAGANA","KIRINYAGA",11203,5462,5741
"135","KINNA","ISIOLO",11175,5739,5436
"136","GONGONI","KILIFI",10993,5295,5698
"137","MERTI","ISIOLO",10990,5682,5308
"138","KEROKA","NYAMIRA/KISII",10881,5149,5731
"139","KILGORIS","NAROK",10845,5281,5563
"140","MATUNDA","UASIN GISHU/KAKAMEGA",10807,5208,5597
"141","GITHUNGURI","KIAMBU",10615,5057,5558
"142","TIMAU","MERU",10571,5144,5427
"143","LOITOKTOK","KAJIADO",10568,5156,5412
"144","KAINUK","TURKANA",10535,5314,5221
"145","SUBUKIA","NAKURU",10344,4949,5395
"146","SINDO","HOMA BAY",10286,4866,5420
"147","KANGUNDO","MACHAKOS",10258,5094,5164
"148","KIMANA","KAJIADO",10116,4870,5246
"149","KWALE","KWALE",10063,4888,5175
"150","CHWELE","BUNGOMA",9797,4487,5310
"151","MWATATE","TAITA/TAVETA",9572,4617,4955
"152","SALGAA","NAKURU",9447,4703,4743
"153","MARIGAT","BARINGO",9395,4536,4859
"154","KUTUS","KIRINYAGA",9143,4441,4702
"155","SULTAN HAMUD","MAKUENI/KAJIADO",8718,4183,4535
"156","MARAGUA","MURANG'A",8597,4006,4591
"157","KIBWEZI","MAKUENI",8143,3957,4186
"158","RODI KOPANY","HOMA BAY",8122,3760,4362
"159","NARO MORU","NYERI/LAIKIPIA",8097,3917,4180
"160","NANDI HILLS","NANDI",8032,3982,4050
"161","USENGE","SIAYA",7976,3813,4163
"162","GATUNDU","KIAMBU",7947,3687,4260
"163","GIRIFTU","WAJIR",7935,4322,3612
"164","BROOKE BOND","KERICHO",7896,3949,3947
"165","IL BISSIL","KAJIADO",7812,3834,3978
"166","SOLOLO","MARSABIT",7683,3929,3754
"167","NKUBU","MERU",7675,3528,4146
"168","CHOGORIA","THARAKA-NITHI",7603,3746,3857
"169","BUTERE","KAKAMEGA",7596,3503,4092
"170","SHIANDA","KAKAMEGA",7502,3448,4054
"171","MUHORONI","KISUMU",7215,3659,3556
"172","GARSEN","TANA RIVER",7176,3463,3713
"173","MARERENI","KILIFI",7085,3393,3692
"174","KAPSOKWONY","BUNGOMA",7077,3435,3641
"175","UGUNJA","SIAYA",7060,3297,3763
"176","SORI","MIGORI",7020,3299,3721
"177","KALOLENI","KILIFI",7016,3319,3697
"178","SONDU","KISUMU/KERICHO",6869,3294,3575
"179","KIMBIMBI","KIRINYAGA",6826,3221,3604
"180","MASENO","KISUMU",6771,3694,3077
"181","OTHAYA","NYERI",6650,2975,3675
"182","MUKURWEINI","NYERI",6508,3115,3393
"183","MWISHO WA RAMI","NAKURU",6499,3262,3236
"184","BURA EAST","GARISSA",6496,3530,2965
"185","KANGEMA","MURANG'A",6424,3123,3301
"186","KENDU BAY","HOMA BAY",6064,2920,3144
"187","TING'ANG'A","KIAMBU",6059,2814,3245
"188","LOLGORIAN","NAROK",6053,3017,3036
"189","KIJAURI","NYAMIRA",5993,2915,3078
"190","CHAKA","NYERI",5970,2872,3098
"191","MPEKETONI","LAMU",5957,2913,3043
"192","KINANGO","KWALE",5928,2728,3200
"193","MTITO ANDEI","MAKUENI",5626,3305,2321
"194","OLOLUNGA","NAROK",5609,2756,2853
"195","GITHIGA","KIAMBU",5565,2755,2810
"196","RIRONI","KIAMBU",5544,2631,2913
"197","NDUNDORI","NAKURU",5392,2636,2756
"198","CHEBILAT","BOMET/NYAMIRA",5373,2717,2656
"199","LAARE","MERU",5358,2656,2702
"200","ENGINEER","NYANDARUA",5324,2500,2822
