"","CountyCode","County","SubCountyCode","SubCounty"
"1","1","MOMBASA","101","CHANGAMWE"
"2","1","MOMBASA","102","JOMVU"
"3","1","MOMBASA","103","KISAUNI"
"4","1","MOMBASA","104","LIKONI"
"5","1","MOMBASA","105","MVITA"
"6","1","MOMBASA","106","NYALI"
"7","2","KWALE","201","KINANGO"
"8","2","KWALE","202","LUNGA LUNGA"
"9","2","KWALE","203","MATUGA"
"10","2","KWALE","204","MSAMBWENI"
"11","2","KWALE","205","SAMBURU"
"12","3","KILIFI","301","CHONYI"
"13","3","KILIFI","302","GANZE"
"14","3","KILIFI","303","KALOLENI"
"15","3","KILIFI","304","KAUMA"
"16","3","KILIFI","305","KILIFI NORTH"
"17","3","KILIFI","306","KILIFI SOUTH"
"18","3","KILIFI","307","MAGARINI"
"19","3","KILIFI","308","MALINDI"
"20","3","KILIFI","309","RABAI"
"21","4","TANA RIVER","401","TANA DELTA"
"22","4","TANA RIVER","402","TANA NORTH"
"23","4","TANA RIVER","403","TANA RIVER"
"24","5","LAMU","501","LAMU EAST"
"25","5","LAMU","502","LAMU WEST"
"26","6","TAITA/TAVETA","601","MWATATE"
"27","6","TAITA/TAVETA","602","TAITA"
"28","6","TAITA/TAVETA","603","TAVETA"
"29","6","TAITA/TAVETA","604","VOI"
"30","7","GARISSA","701","BALAMBALA"
"31","7","GARISSA","702","DADAAB"
"32","7","GARISSA","703","FAFI"
"33","7","GARISSA","704","GARISSA"
"34","7","GARISSA","705","HULUGHO"
"35","7","GARISSA","706","IJARA"
"36","7","GARISSA","707","LAGDERA"
"37","8","WAJIR","801","BUNA"
"38","8","WAJIR","802","ELDAS"
"39","8","WAJIR","803","HABASWEIN"
"40","8","WAJIR","804","TARBAJ"
"41","8","WAJIR","805","WAJIR EAST"
"42","8","WAJIR","806","WAJIR NORTH"
"43","8","WAJIR","807","WAJIR SOUTH"
"44","8","WAJIR","808","WAJIR WEST"
"45","9","MANDERA","901","MANDERA WEST"
"46","9","MANDERA","902","BANISA"
"47","9","MANDERA","903","KOTULO"
"48","9","MANDERA","904","LAFEY"
"49","9","MANDERA","905","MANDERA CENTRAL"
"50","9","MANDERA","906","MANDERA EAST"
"51","9","MANDERA","907","MANDERA NORTH"
"52","10","MARSABIT","1001","LOIYANGALANI"
"53","10","MARSABIT","1002","MARSABIT CENTRAL"
"54","10","MARSABIT","1003","MARSABIT NORTH"
"55","10","MARSABIT","1004","MARSABIT SOUTH"
"56","10","MARSABIT","1005","MOYALE"
"57","10","MARSABIT","1006","NORTH HORR"
"58","10","MARSABIT","1007","SOLOLO"
"59","11","ISIOLO","1101","GARBATULLA"
"60","11","ISIOLO","1102","ISIOLO"
"61","11","ISIOLO","1103","MERTI"
"62","12","MERU","1201","BUURI EAST"
"63","12","MERU","1202","BUURI WEST"
"64","12","MERU","1203","IGEMBE CENTRAL"
"65","12","MERU","1204","IGEMBE NORTH"
"66","12","MERU","1205","IGEMBE SOUTH"
"67","12","MERU","1206","IMENTI NORTH"
"68","12","MERU","1207","IMENTI SOUTH"
"69","12","MERU","1208","MERU CENTRAL"
"70","12","MERU","1209","TIGANIA CENTRAL"
"71","12","MERU","1210","TIGANIA EAST"
"72","12","MERU","1211","TIGANIA WEST"
"73","13","THARAKA-NITHI","1301","IGAMBANG'OMBE"
"74","13","THARAKA-NITHI","1302","MAARA"
"75","13","THARAKA-NITHI","1303","MERU SOUTH"
"76","13","THARAKA-NITHI","1304","THARAKA NORTH"
"77","13","THARAKA-NITHI","1305","THARAKA SOUTH"
"78","14","EMBU","1401","EMBU EAST"
"79","14","EMBU","1402","EMBU NORTH"
"80","14","EMBU","1403","EMBU WEST"
"81","14","EMBU","1404","MBEERE SOUTH"
"82","14","EMBU","1405","MBEERE NORTH"
"83","15","KITUI","1501","IKUTHA"
"84","15","KITUI","1502","KATULANI"
"85","15","KITUI","1503","KISASI"
"86","15","KITUI","1504","KITUI CENTRAL"
"87","15","KITUI","1505","KITUI WEST"
"88","15","KITUI","1506","KYUSO"
"89","15","KITUI","1507","LOWER YATTA"
"90","15","KITUI","1508","MATINYANI"
"91","15","KITUI","1509","MIGWANI"
"92","15","KITUI","1510","MUMONI"
"93","15","KITUI","1511","MUTITU"
"94","15","KITUI","1512","MUTITU NORTH"
"95","15","KITUI","1513","MUTOMO"
