"","Age","Male","Female","Intersex","Total"
"1","Total",16195923,16535832,841,32732596
"2","0",363114,365442,18,728574
"3","1",391645,387960,17,779622
"4","2",429585,427954,18,857557
"5","3",440003,441890,17,881910
"6","4",465291,456016,20,921327
"7","0 - 4",2089638,2079262,90,4168990
"8","5",461588,447415,33,909036
"9","6",474256,471515,21,945792
"10","7",450530,442155,16,892701
"11","8",465210,461098,37,926345
"12","9",471192,462313,25,933530
"13","5-9",2322776,2284496,132,4607404
"14","10",539398,517684,25,1057107
"15","11",438292,448855,23,887170
"16","12",534270,494051,25,1028346
"17","13",489404,475462,19,964885
"18","14",476362,446561,27,922950
"19","10-14",2477726,2382613,119,4860458
"20","15",481182,445585,23,926790
"21","16",429958,404939,24,834921
"22","17",429663,385927,18,815608
"23","18",359011,323229,11,682251
"24","19",350525,325720,19,676264
"25","15-19",2050339,1885400,95,3935834
"26","20",342750,336926,29,679705
"27","21",259999,263059,18,523076
"28","22",248622,260355,19,508996
"29","23",244528,263166,11,507705
"30","24",217971,232262,16,450249
"31","20-24",1313870,1355768,93,2669731
"32","25",259581,273579,17,533177
"33","26",192032,218848,11,410891
"34","27",202272,223263,13,425548
"35","28",169875,193045,10,362930
"36","29",178513,204773,6,383292
"37","25-29",1002273,1113508,57,2115838
"38","30",254936,294305,19,549260
"39","31",166066,195294,7,361367
"40","32",204672,241222,9,445903
"41","33",174424,209003,11,383438
"42","34",158481,179409,9,337899
"43","30-34",958579,1119233,55,2077867
"44","35",230817,238072,10,468899
"45","36",149135,148442,8,297585
"46","37",156749,145959,7,302715
"47","38",119659,119373,8,239040
"48","39",141550,137981,5,279536
"49","35-39",797910,789827,38,1587775
"50","40",192407,183637,10,376054
"51","41",157712,156310,9,314031
"52","42",144583,145134,6,289723
"53","43",125544,135142,8,260694
"54","44",103270,108468,4,211742
"55","40-44",723516,728691,37,1452244
"56","45",175149,173937,10,349096
"57","46",116895,122131,8,239034
"58","47",121266,125631,7,246904
"59","48",84657,86642,5,171304
"60","49",99692,105690,1,205383
"61","45-49",597659,614031,31,1211721
"62","50",131587,142327,5,273919
"63","51",92740,99109,3,191852
"64","52",81804,84435,3,166242
"65","53",63275,67837,2,131114
"66","54",76370,77324,3,153697
"67","50-54",445776,471032,16,916824
"68","55",85209,84465,6,169680
"69","56",85685,91745,3,177433
"70","57",77093,99122,2,176217
"71","58",66379,77712,2,144093
"72","59",78749,91259,3,170011
"73","55-59",393115,444303,16,837434
"74","60",98734,113219,11,211964
"75","61",69221,78693,2,147916
"76","62",57926,61624,4,119554
"77","63",57052,65764,1,122817
"78","64",43027,48979,3,92009
"79","60-64",325960,368279,21,694260
"80","65",66824,78815,3,145642
"81","66",41141,45436,1,86578
"82","67",65727,74516,2,140245
"83","68",31201,34104,2,65307
"84","69",48690,59942,2,108634
"85","65-69",253583,292813,10,546406
"86","70",64281,86751,6,151038
"87","71",42192,48295,3,90490
"88","72",34970,35043,1,70014
"89","73",29241,32947,1,62189
"90","74",27692,36254,4,63950
"91","70-74",198376,239290,15,437681
"92","75",26228,35035,2,61265
"93","76",20967,30302,NA,51269
"94","77",22474,29078,3,51555
"95","78",14317,15974,NA,30291
"96","79",18803,32438,1,51242
"97","75-79",102789,142827,6,245622
"98","80",24532,40226,NA,64758
"99","81",12922,19239,NA,32161
"100","82",11553,12885,NA,24438
"101","83",12784,16081,NA,28865
"102","84",11226,17455,NA,28681
"103","80-84",73017,105886,NA,178903
"104","85",9963,15298,1,25262
"105","86",7191,9280,NA,16471
"106","87",8818,12437,NA,21255
"107","88",4505,5754,1,10260
"108","89",8679,18931,2,27612
"109","85-89",39156,61700,4,100860
"110","90",5976,12201,4,18181
"111","91",4444,7886,NA,12330
"112","92",2736,3980,NA,6716
"113","93",2177,3711,NA,5888
"114","94",1993,4010,NA,6003
"115","90-94",17326,31788,4,49118
"116","95",3051,5320,NA,8371
"117","96",1301,2246,NA,3547
"118","97",1766,2424,NA,4190
"119","98",1027,1780,NA,2807
"120","99",1705,4274,NA,5979
"121","95-99",8850,16044,NA,24894
"122","100+",3495,8896,NA,12391
"123","Not Stated",194,145,2,341
