"","Age","Male","Female","Intersex","Total"
"1","Total",7352137,7478880,"683",14831700
"2","0",189394,187086,"20",376500
"3","1",189211,185960,"12",375183
"4","2",184420,182751,"15",367186
"5","3",179986,180051,"9",360046
"6","4",173695,171659,"8",345362
"7","0 - 4",916706,907507,"64",1824277
"8","5",164569,163044,"7",327620
"9","6",161668,164427,"9",326104
"10","7",159085,159146,"8",318239
"11","8",153408,155735,"9",309152
"12","9",155445,158668,"11",314124
"13","5-9",794175,801020,"44",1595239
"14","10",161128,161037,"8",322173
"15","11",135465,142539,"10",278014
"16","12",152684,154434,"11",307129
"17","13",145748,153168,"10",298926
"18","14",137009,142351,"12",279372
"19","10-14",732034,753529,"51",1485614
"20","15",130194,138346,"11",268551
"21","16",123986,136439,"7",260432
"22","17",132025,142869,"9",274903
"23","18",116659,133803,"13",250475
"24","19",133061,162585,"16",295662
"25","15-19",635925,714042,"56",1350023
"26","20",143883,186284,"17",330184
"27","21",146911,181648,"26",328585
"28","22",157477,194973,"15",352465
"29","23",175801,213950,"32",389783
"30","24",174748,202155,"23",376926
"31","20-24",798820,979010,"113",1777943
"32","25",194697,211888,"34",406619
"33","26",166474,185398,"16",351888
"34","27",170856,180315,"16",351187
"35","28",148444,160608,"9",309061
"36","29",156799,163142,"21",319962
"37","25-29",837270,901351,"96",1738717
"38","30",194862,203639,"40",398541
"39","31",130479,129065,"22",259566
"40","32",164914,166777,"15",331706
"41","33",127894,131097,"7",258998
"42","34",121950,122076,"15",244041
"43","30-34",740099,752654,"99",1492852
"44","35",151622,141247,"15",292884
"45","36",107662,102890,"13",210565
"46","37",105272,95671,"13",200956
"47","38",91553,86932,"8",178493
"48","39",94176,85261,"6",179443
"49","35-39",550285,512001,"55",1062341
"50","40",118519,102184,"10",220713
"51","41",92142,78947,"7",171096
"52","42",89000,75030,"4",164034
"53","43",73709,64649,"3",138361
"54","44",60268,52513,"2",112783
"55","40-44",433638,373323,"26",806987
"56","45",91592,73636,"5",165233
"57","46",61499,50817,"3",112319
"58","47",64542,50955,"4",115501
"59","48",48140,39198,"6",87344
"60","49",52902,41234,"2",94138
"61","45-49",318675,255840,"20",574535
"62","50",63491,52634,"19",116144
"63","51",42722,33397,"4",76123
"64","52",42998,34069,"2",77069
"65","53",31529,26186,NA,57715
"66","54",36465,28267,"3",64735
"67","50-54",217205,174553,"28",391786
"68","55",36596,27532,NA,64128
"69","56",35191,28803,"3",63997
"70","57",30393,27042,"1",57436
"71","58",24737,20880,"2",45619
"72","59",26931,22545,"4",49480
"73","55-59",153848,126802,"10",280660
"74","60",29522,26875,"2",56399
"75","61",19368,17128,NA,36496
"76","62",17472,14489,NA,31961
"77","63",15289,13521,"5",28815
"78","64",11830,10261,NA,22091
"79","60-64",93481,82274,"7",175762
"80","65",16092,15027,"2",31121
"81","66",10036,9564,"1",19601
"82","67",14264,12976,"1",27241
"83","68",7561,6716,NA,14277
"84","69",9809,9722,"1",19532
"85","65-69",57762,54005,"5",111772
"86","70",12665,14460,NA,27125
"87","71",7527,7898,"2",15427
"88","72",6975,6360,NA,13335
"89","73",5443,5143,NA,10586
"90","74",4988,5397,NA,10385
"91","70-74",37598,39258,"2",76858
"92","75",4519,5684,"1",10204
"93","76",3680,5001,NA,8681
"94","77",3268,3967,NA,7235
"95","78",2488,2521,NA,5009
"96","79",2551,3820,NA,6371
"97","75-79",16506,20993,"1",37500
"98","80",3500,5911,NA,9411
"99","81",1650,2709,"2",4361
"100","82",1702,2038,NA,3740
"101","83",1681,2163,NA,3844
"102","84",1383,2254,"1",3638
"103","80-84",9916,15075,"3",24994
"104","85",1371,2171,NA,3542
"105","86",979,1491,NA,2470
"106","87",975,1554,NA,2529
"107","88",566,818,NA,1384
"108","89",905,1920,NA,2825
"109","85-89",4796,7954,NA,12750
"110","90",670,1675,NA,2345
"111","91",441,915,NA,1356
"112","92",326,557,NA,883
"113","93",257,456,NA,713
"114","94",208,478,NA,686
"115","90-94",1902,4081,NA,5983
"116","95",296,726,NA,1022
"117","96",166,385,NA,551
"118","97",197,375,NA,572
"119","98",110,246,NA,356
"120","99",151,460,NA,611
"121","95-99",920,2192,NA,3112
"122","100+",381,1268,NA,1649
"123","Not Stated",195,148,"3",346
