"","County","SubCounty","Age","Male","Female","Total"
"1","BARINGO","ALL","Total",336322,330428,666750
"2","BARINGO","ALL","0",8303,7982,16285
"3","BARINGO","ALL","1",8669,8417,17086
"4","BARINGO","ALL","2",10226,9762,19988
"5","BARINGO","ALL","3",10265,10086,20351
"6","BARINGO","ALL","4",11045,10276,21321
"7","BARINGO","ALL","0 - 4",48508,46523,95031
"8","BARINGO","ALL","5",10701,10047,20748
"9","BARINGO","ALL","6",10949,10422,21371
"10","BARINGO","ALL","7",9595,9082,18677
"11","BARINGO","ALL","8",10276,10027,20303
"12","BARINGO","ALL","9",9355,9101,18456
"13","BARINGO","ALL","5-9",50876,48679,99555
"14","BARINGO","ALL","10",12772,11975,24747
"15","BARINGO","ALL","11",8102,8365,16467
"16","BARINGO","ALL","12",11844,10549,22393
"17","BARINGO","ALL","13",9747,9167,18914
"18","BARINGO","ALL","14",9920,9151,19071
"19","BARINGO","ALL","10 -14",52385,49207,101592
"20","BARINGO","ALL","15",10511,9330,19841
"21","BARINGO","ALL","16",8720,8131,16851
"22","BARINGO","ALL","17",8494,7641,16135
"23","BARINGO","ALL","18",7287,6686,13973
"24","BARINGO","ALL","19",7312,6836,14148
"25","BARINGO","ALL","15-19",42324,38624,80948
"26","BARINGO","ALL","20",7833,7737,15570
"27","BARINGO","ALL","21",5933,6111,12044
"28","BARINGO","ALL","22",5679,5987,11666
"29","BARINGO","ALL","23",5840,6017,11857
"30","BARINGO","ALL","24",5303,5405,10708
"31","BARINGO","ALL","20-24",30588,31257,61845
"32","BARINGO","ALL","25",6470,6583,13053
"33","BARINGO","ALL","26",4296,4652,8948
"34","BARINGO","ALL","27",4417,4584,9001
"35","BARINGO","ALL","28",3754,4292,8046
"36","BARINGO","ALL","29",3956,4254,8210
"37","BARINGO","ALL","25-29",22893,24365,47258
"38","BARINGO","ALL","30",6117,6540,12657
"39","BARINGO","ALL","31",3290,3428,6718
"40","BARINGO","ALL","32",3900,4109,8009
"41","BARINGO","ALL","33",3299,3485,6784
"42","BARINGO","ALL","34",2773,2899,5672
"43","BARINGO","ALL","30-34",19379,20461,39840
"44","BARINGO","ALL","35",5022,5023,10045
"45","BARINGO","ALL","36",2612,2449,5061
"46","BARINGO","ALL","37",2697,2318,5015
"47","BARINGO","ALL","38",1984,2084,4068
"48","BARINGO","ALL","39",2335,2201,4536
"49","BARINGO","ALL","35-39",14650,14075,28725
"50","BARINGO","ALL","40",3863,3488,7351
"51","BARINGO","ALL","41",2944,2634,5578
"52","BARINGO","ALL","42",2351,2237,4588
"53","BARINGO","ALL","43",1895,2086,3981
"54","BARINGO","ALL","44",1440,1583,3023
"55","BARINGO","ALL","40-44",12493,12028,24521
"56","BARINGO","ALL","45",3764,3602,7366
"57","BARINGO","ALL","46",1954,2078,4032
"58","BARINGO","ALL","47",2040,2073,4113
"59","BARINGO","ALL","48",1278,1289,2567
"60","BARINGO","ALL","49",1627,1785,3412
"61","BARINGO","ALL","45-49",10663,10827,21490
"62","BARINGO","ALL","50",2502,2745,5247
"63","BARINGO","ALL","51",1471,1457,2928
"64","BARINGO","ALL","52",1259,1371,2630
"65","BARINGO","ALL","53",1004,1067,2071
"66","BARINGO","ALL","54",1432,1517,2949
"67","BARINGO","ALL","50-54",7668,8157,15825
"68","BARINGO","ALL","55",1305,1107,2412
"69","BARINGO","ALL","56",1163,1176,2339
"70","BARINGO","ALL","57",1170,1492,2662
"71","BARINGO","ALL","58",1395,1537,2932
"72","BARINGO","ALL","59",1406,1390,2796
"73","BARINGO","ALL","55-59",6439,6702,13141
"74","BARINGO","ALL","60",1946,2061,4007
"75","BARINGO","ALL","61",1213,1064,2277
"76","BARINGO","ALL","62",868,875,1743
"77","BARINGO","ALL","63",944,948,1892
"78","BARINGO","ALL","64",642,670,1312
"79","BARINGO","ALL","60-64",5613,5618,11231
"80","BARINGO","ALL","65",1223,1405,2628
"81","BARINGO","ALL","66",560,557,1117
"82","BARINGO","ALL","67",1069,976,2045
"83","BARINGO","ALL","68",574,565,1139
"84","BARINGO","ALL","69",943,1026,1969
"85","BARINGO","ALL","65-69",4369,4529,8898
"86","BARINGO","ALL","70",1267,1525,2792
"87","BARINGO","ALL","71",874,776,1650
"88","BARINGO","ALL","72",593,566,1159
"89","BARINGO","ALL","73",409,486,895
"90","BARINGO","ALL","74",477,529,1006
"91","BARINGO","ALL","70-74",3620,3882,7502
"92","BARINGO","ALL","75",493,543,1036
"93","BARINGO","ALL","76",306,310,616
"94","BARINGO","ALL","77",318,354,672
"95","BARINGO","ALL","78",212,224,436
"96","BARINGO","ALL","79",350,591,941
"97","BARINGO","ALL","75-79",1679,2022,3701
"98","BARINGO","ALL","80",458,681,1139
"99","BARINGO","ALL","81",167,345,512
"100","BARINGO","ALL","82",137,167,304
"101","BARINGO","ALL","83",169,258,427
"102","BARINGO","ALL","84",185,277,462
"103","BARINGO","ALL","80-84",1116,1728,2844
"104","BARINGO","ALL","85",137,239,376
"105","BARINGO","ALL","86",102,134,236
"106","BARINGO","ALL","87",123,137,260
"107","BARINGO","ALL","88",51,71,122
"108","BARINGO","ALL","89",185,318,503
"109","BARINGO","ALL","85-89",598,899,1497
"110","BARINGO","ALL","90",85,186,271
"111","BARINGO","ALL","91",58,80,138
"112","BARINGO","ALL","92",39,57,96
"113","BARINGO","ALL","93",38,55,93
"114","BARINGO","ALL","94",33,62,95
"115","BARINGO","ALL","90-94",253,440,693
"116","BARINGO","ALL","95",55,116,171
"117","BARINGO","ALL","96",22,31,53
"118","BARINGO","ALL","97",27,34,61
"119","BARINGO","ALL","98",8,29,37
"120","BARINGO","ALL","99",29,68,97
"121","BARINGO","ALL","95-99",141,278,419
"122","BARINGO","ALL","100+",66,126,192
"123","BARINGO","ALL","Not Stated",1,1,2
"124","BARINGO","BARINGO CENTRAL","Total",48120,48829,96949
"125","BARINGO","BARINGO CENTRAL","0",1110,1071,2181
"126","BARINGO","BARINGO CENTRAL","1",1189,1160,2349
"127","BARINGO","BARINGO CENTRAL","2",1293,1222,2515
"128","BARINGO","BARINGO CENTRAL","3",1367,1353,2720
"129","BARINGO","BARINGO CENTRAL","4",1344,1247,2591
"130","BARINGO","BARINGO CENTRAL","0 - 4",6303,6053,12356
"131","BARINGO","BARINGO CENTRAL","5",1297,1235,2532
"132","BARINGO","BARINGO CENTRAL","6",1250,1282,2532
"133","BARINGO","BARINGO CENTRAL","7",1232,1251,2483
"134","BARINGO","BARINGO CENTRAL","8",1098,1193,2291
"135","BARINGO","BARINGO CENTRAL","9",1266,1297,2563
"136","BARINGO","BARINGO CENTRAL","5-9",6143,6258,12401
"137","BARINGO","BARINGO CENTRAL","10",1450,1378,2828
"138","BARINGO","BARINGO CENTRAL","11",1149,1259,2408
"139","BARINGO","BARINGO CENTRAL","12",1387,1357,2744
"140","BARINGO","BARINGO CENTRAL","13",1429,1368,2797
"141","BARINGO","BARINGO CENTRAL","14",1300,1382,2682
"142","BARINGO","BARINGO CENTRAL","10 -14",6715,6744,13459
"143","BARINGO","BARINGO CENTRAL","15",1424,1377,2801
"144","BARINGO","BARINGO CENTRAL","16",1181,1195,2376
"145","BARINGO","BARINGO CENTRAL","17",1255,1275,2530
"146","BARINGO","BARINGO CENTRAL","18",949,905,1854
"147","BARINGO","BARINGO CENTRAL","19",1133,1097,2230
"148","BARINGO","BARINGO CENTRAL","15-19",5942,5849,11791
"149","BARINGO","BARINGO CENTRAL","20",974,994,1968
"150","BARINGO","BARINGO CENTRAL","21",927,970,1897
"151","BARINGO","BARINGO CENTRAL","22",827,871,1698
"152","BARINGO","BARINGO CENTRAL","23",947,986,1933
"153","BARINGO","BARINGO CENTRAL","24",858,879,1737
"154","BARINGO","BARINGO CENTRAL","20-24",4533,4700,9233
"155","BARINGO","BARINGO CENTRAL","25",956,928,1884
"156","BARINGO","BARINGO CENTRAL","26",708,736,1444
"157","BARINGO","BARINGO CENTRAL","27",755,733,1488
"158","BARINGO","BARINGO CENTRAL","28",596,689,1285
"159","BARINGO","BARINGO CENTRAL","29",651,664,1315
"160","BARINGO","BARINGO CENTRAL","25-29",3666,3750,7416
"161","BARINGO","BARINGO CENTRAL","30",829,852,1681
"162","BARINGO","BARINGO CENTRAL","31",572,513,1085
"163","BARINGO","BARINGO CENTRAL","32",655,712,1367
"164","BARINGO","BARINGO CENTRAL","33",566,581,1147
"165","BARINGO","BARINGO CENTRAL","34",468,537,1005
"166","BARINGO","BARINGO CENTRAL","30-34",3090,3195,6285
"167","BARINGO","BARINGO CENTRAL","35",767,701,1468
"168","BARINGO","BARINGO CENTRAL","36",445,401,846
"169","BARINGO","BARINGO CENTRAL","37",465,435,900
"170","BARINGO","BARINGO CENTRAL","38",345,330,675
"171","BARINGO","BARINGO CENTRAL","39",377,393,770
"172","BARINGO","BARINGO CENTRAL","35-39",2399,2260,4659
"173","BARINGO","BARINGO CENTRAL","40",533,470,1003
"174","BARINGO","BARINGO CENTRAL","41",508,475,983
"175","BARINGO","BARINGO CENTRAL","42",352,372,724
"176","BARINGO","BARINGO CENTRAL","43",329,393,722
