"","County","Age","Male","Female","Total"
"1","KWALE","Total",362726,377650,740376
"2","KWALE","0",10626,10664,21290
"3","KWALE","1",11099,10811,21910
"4","KWALE","2",11621,11393,23014
"5","KWALE","3",11717,11924,23641
"6","KWALE","4",12551,12166,24717
"7","KWALE","0 - 4",57614,56958,114572
"8","KWALE","5",12964,12565,25529
"9","KWALE","6",12303,11966,24269
"10","KWALE","7",11651,11145,22796
"11","KWALE","8",11080,11054,22134
"12","KWALE","9",11625,11215,22840
"13","KWALE","5-9",59623,57945,117568
"14","KWALE","10",11787,11695,23482
"15","KWALE","11",10653,10749,21402
"16","KWALE","12",11892,11346,23238
"17","KWALE","13",11807,11528,23335
"18","KWALE","14",10470,10002,20472
"19","KWALE","10-14",56609,55320,111929
"20","KWALE","15",9835,9356,19191
"21","KWALE","16",9116,8814,17930
"22","KWALE","17",9005,8041,17046
"23","KWALE","18",8165,7460,15625
"24","KWALE","19",7707,7881,15588
"25","KWALE","15-19",43828,41552,85380
"26","KWALE","20",7111,7960,15071
"27","KWALE","21",4954,5631,10585
"28","KWALE","22",5124,6145,11269
"29","KWALE","23",4927,6093,11020
"30","KWALE","24",4426,5408,9834
"31","KWALE","20-24",26542,31237,57779
"32","KWALE","25",5498,6437,11935
"33","KWALE","26",4328,5497,9825
"34","KWALE","27",4356,5138,9494
"35","KWALE","28",3756,4918,8674
"36","KWALE","29",3652,4965,8617
"37","KWALE","25-29",21590,26955,48545
"38","KWALE","30",5233,7134,12367
"39","KWALE","31",3244,4254,7498
"40","KWALE","32",3984,5050,9034
"41","KWALE","33",3296,4189,7485
"42","KWALE","34",3280,3838,7118
"43","KWALE","30-34",19037,24465,43502
"44","KWALE","35",4537,5096,9633
"45","KWALE","36",2988,3336,6324
"46","KWALE","37",2811,3014,5825
"47","KWALE","38",2210,2397,4607
"48","KWALE","39",2447,2514,4961
"49","KWALE","35-39",14993,16357,31350
"50","KWALE","40",3725,4089,7814
"51","KWALE","41",2915,3234,6149
"52","KWALE","42",3114,3633,6747
"53","KWALE","43",2586,3050,5636
"54","KWALE","44",2252,2374,4626
"55","KWALE","40-44",14592,16380,30972
"56","KWALE","45",3626,3561,7187
"57","KWALE","46",2167,2371,4538
"58","KWALE","47",2414,2240,4654
"59","KWALE","48",1771,1673,3444
"60","KWALE","49",1960,1635,3595
"61","KWALE","45-49",11938,11480,23418
"62","KWALE","50",3097,3117,6214
"63","KWALE","51",1926,1485,3411
"64","KWALE","52",1495,1153,2648
"65","KWALE","53",956,695,1651
"66","KWALE","54",1199,852,2051
"67","KWALE","50-54",8673,7302,15975
"68","KWALE","55",1440,1166,2606
"69","KWALE","56",1651,1504,3155
"70","KWALE","57",1432,1431,2863
"71","KWALE","58",1200,1147,2347
"72","KWALE","59",1447,1833,3280
"73","KWALE","55-59",7170,7081,14251
"74","KWALE","60",2101,3121,5222
"75","KWALE","61",1148,1566,2714
"76","KWALE","62",1198,1251,2449
"77","KWALE","63",1195,1445,2640
"78","KWALE","64",995,1100,2095
"79","KWALE","60-64",6637,8483,15120
"80","KWALE","65",1616,1845,3461
"81","KWALE","66",937,804,1741
"82","KWALE","67",1297,1194,2491
"83","KWALE","68",717,697,1414
"84","KWALE","69",1037,1402,2439
"85","KWALE","65-69",5604,5942,11546
"86","KWALE","70",1525,2354,3879
"87","KWALE","71",573,689,1262
"88","KWALE","72",589,643,1232
"89","KWALE","73",507,465,972
"90","KWALE","74",555,614,1169
"91","KWALE","70-74",3749,4765,8514
"92","KWALE","75",683,682,1365
"93","KWALE","76",346,330,676
"94","KWALE","77",381,387,768
"95","KWALE","78",305,250,555
"96","KWALE","79",405,504,909
"97","KWALE","75-79",2120,2153,4273
"98","KWALE","80",523,918,1441
"99","KWALE","81",197,216,413
"100","KWALE","82",179,172,351
"101","KWALE","83",170,209,379
"102","KWALE","84",185,235,420
"103","KWALE","80-84",1254,1750,3004
"104","KWALE","85",189,274,463
"105","KWALE","86",107,89,196
"106","KWALE","87",120,136,256
"107","KWALE","88",70,73,143
"108","KWALE","89",173,256,429
"109","KWALE","85-89",659,828,1487
"110","KWALE","90",125,233,358
"111","KWALE","91",49,55,104
"112","KWALE","92",39,28,67
"113","KWALE","93",22,28,50
"114","KWALE","94",34,38,72
"115","KWALE","90-94",269,382,651
"116","KWALE","95",34,39,73
"117","KWALE","96",21,23,44
"118","KWALE","97",15,24,39
"119","KWALE","98",15,22,37
"120","KWALE","99",42,55,97
"121","KWALE","95-99",127,163,290
"122","KWALE","100+",93,146,239
"123","KWALE","Not Stated",5,6,11
"124","KILIFI","Total",512765,547115,1059880
"125","KILIFI","0",13702,13741,27443
"126","KILIFI","1",14789,14475,29264
"127","KILIFI","2",15309,15168,30477
"128","KILIFI","3",15661,15691,31352
"129","KILIFI","4",16404,16093,32497
"130","KILIFI","0 - 4",75865,75168,151033
"131","KILIFI","5",17086,16873,33959
"132","KILIFI","6",16436,16295,32731
"133","KILIFI","7",15688,14980,30668
"134","KILIFI","8",15794,15606,31400
"135","KILIFI","9",16177,15950,32127
"136","KILIFI","5-9",81181,79704,160885
"137","KILIFI","10",17028,16672,33700
"138","KILIFI","11",16006,16182,32188
"139","KILIFI","12",16987,16636,33623
"140","KILIFI","13",16829,16856,33685
